"","SAMD_1","SAMP_1","SAMD_2","SAMP_2","SAMD_3","SAMP_3"
"AFF2",-0.408642324509241,0.684602523999569,2.81778265491481,0.00569086398446769,-2.41954337459139,0.0146489051882213
"AFF3",-2.99218950053735,0.00331571567252724,1.17283483397455,0.245040448711034,1.48352113759293,0.136181641678352
"AFF4",-0.771716201288382,0.44341279257901,0.523603806102778,0.603788156617409,0.194569495992572,0.845093301693453
"AFG3L2",-2.95708188624215,0.00366195663898177,-0.407332582609913,0.686834214216374,3.09285978346149,0.00178082191780822
"AFP",-1.70163682576524,0.0922705209793981,0.982440513639518,0.330608348613957,0.143221159133749,0.885449250350556
"AFTPH",-4.55370223609972,1.29435875310107e-05,0.88403873441707,0.381688059540503,3.29897114934859,0.000873692158343221
"AGA",2.12485244982917,0.035477294790206,-3.04452519723061,0.00289073454859238,1.02597322824263,0.302901520871535
"AGAP1",-1.3186681283646,0.191098047675547,5.28034825370663,0,-3.20870800521556,0.00117247330385072
"AGBL2",-3.88449646727396,0.000172581167080142,1.4585085360136,0.148709955776076,1.42535693291825,0.152127062884263
"AGBL3",-0.178856675925971,0.859096106137418,0.857830007096731,0.395941106676734,-0.589979013407496,0.553946715564664
"AGBL5",-5.98655813138077,0,8.30292456720034,0,-2.37390722082529,0.0166346672419372
"AGER",-3.72702086997843,0.000307410203861504,1.60689821140492,0.111960953510948,1.62854659268977,0.101743069787509
"AGFG2",-5.58954391338963,0,-7.60793088328641,0,11.1444922744883,0
"AGGF1",1.13835084926473,0.258725056628195,2.15839698645217,0.0334127925790098,-2.95254397928368,0.00293819436953942
"AGK",-5.81884982419041,0,3.20505560588479,0.00176248516880595,2.11929834993272,0.0328184661848776
"AGMAT",-4.12040429288631,7.65828928918132e-05,5.60083556195612,0,-1.88400367788165,0.058215942185309
"AGO1",-3.69193226666926,0.00033976917268903,3.86880288684875,0.000189839283788157,-0.508734059104963,0.610039909394887
"AGO3",-3.16337328082067,0.00192320138064934,4.48246853451346,2.15726458850178e-05,-1.53560269898453,0.122997519145723
"AGO4",-0.534898914618165,0.59531334268148,-1.57927885756499,0.118168482364362,1.92549974729254,0.0529511379570704
"AGPAT1",-1.93176256730245,0.0559540502642649,3.29371211253908,0.00135799805846187,-1.36732857623299,0.169594434257362
"AGPAT3",-0.78458741260063,0.435820299859778,-2.65587671456295,0.00907992665300399,3.24681932489326,0.00103872289936361
